# p_over_P_Cubic  fidelity_Cubic  p_over_P_DCQO  fidelity_DCQO  p_over_P_DCQO_noCD  fidelity_DCQO_noCD  p_over_P_QAOA_dCRAB  fidelity_QAOA_dCRAB  p_over_P_DC_QAOA_dCRAB  fidelity_DC_QAOA_dCRAB
1.8518518518518517e-02 9.9999954237716560e-01 1.8518518518518517e-02 9.5978880075811901e-01 1.2345679012345678e-02 9.8881968331506587e-01 1.2345679012345678e-02 7.1006156882324756e-01 1.8518518518518517e-02 4.6796019956397361e-01
3.7037037037037035e-02 9.9993672451401328e-01 3.7037037037037035e-02 8.4337991206528939e-01 2.4691358024691357e-02 9.1001098232408550e-01 2.4691358024691357e-02 3.7531142870547196e-01 3.7037037037037035e-02 2.6811484138951674e-01
5.5555555555555552e-02 9.9956307841168079e-01 5.5555555555555552e-02 6.6922901907124854e-01 3.7037037037037035e-02 7.4143385888201541e-01 3.7037037037037035e-02 2.5629228442652724e-01 5.5555555555555552e-02 1.0668476108404697e-01
7.4074074074074070e-02 9.9863669971982560e-01 7.4074074074074070e-02 5.3181612817523083e-01 4.9382716049382713e-02 5.6259450815723455e-01 4.9382716049382713e-02 2.6347118038047507e-01 7.4074074074074070e-02 3.0780661079191040e-02
9.2592592592592587e-02 9.9643448433086068e-01 9.2592592592592587e-02 4.6120846878866378e-01 6.1728395061728392e-02 4.5895503970532936e-01 6.1728395061728392e-02 3.1889993733547761e-01 9.2592592592592587e-02 7.0743299018488272e-03
1.1111111111111110e-01 9.9272218100915088e-01 1.1111111111111110e-01 4.1974774046882235e-01 7.4074074074074070e-02 4.0903636454508491e-01 7.4074074074074070e-02 3.3207040338154503e-01 1.1111111111111110e-01 1.6368952623961124e-03
1.2962962962962962e-01 9.8697586606317733e-01 1.2962962962962962e-01 3.9013023800794200e-01 8.6419753086419748e-02 3.8362420140585274e-01 8.6419753086419748e-02 2.9780322183509539e-01 1.2962962962962962e-01 5.4865669827922634e-04
1.4814814814814814e-01 9.7813349159910823e-01 1.4814814814814814e-01 3.6867165786989309e-01 9.8765432098765427e-02 3.6962325969977450e-01 9.8765432098765427e-02 2.3720789581511154e-01 1.4814814814814814e-01 3.1583273463500023e-04
1.6666666666666666e-01 9.6687304515787276e-01 1.6666666666666666e-01 3.5521168990313373e-01 1.1111111111111110e-01 3.5841309656277764e-01 1.1111111111111110e-01 1.8120109064115683e-01 1.6666666666666666e-01 2.4164126845613857e-04
1.8518518518518517e-01 9.5152046379795840e-01 1.8518518518518517e-01 3.4615179711294536e-01 1.2345679012345678e-01 3.4619971068648436e-01 1.2345679012345678e-01 1.3179617867215204e-01 1.8518518518518517e-01 2.0061846978057426e-04
2.0370370370370369e-01 9.3284188999084561e-01 2.0370370370370369e-01 3.3883160266381857e-01 1.3580246913580246e-01 3.3616443198643137e-01 1.3580246913580246e-01 9.0553423473080291e-02 2.0370370370370369e-01 1.1093409066786589e-04
2.2222222222222221e-01 9.1035083608118328e-01 2.2222222222222221e-01 3.3341992005764287e-01 1.4814814814814814e-01 3.2794382270920680e-01 1.4814814814814814e-01 5.4495579639552746e-02 2.2222222222222221e-01 7.3038819141214617e-05
2.4074074074074073e-01 8.8373355957212874e-01 2.4074074074074073e-01 3.2946678269760266e-01 1.6049382716049382e-01 3.2145391788368444e-01 1.6049382716049382e-01 3.5873291596189391e-02 2.4074074074074073e-01 5.1465894162576822e-05
2.5925925925925924e-01 8.5374825042058289e-01 2.5925925925925924e-01 3.2683986918612712e-01 1.7283950617283950e-01 3.1762486755920605e-01 1.7283950617283950e-01 2.9549972137801868e-02 2.5925925925925924e-01 3.9638125122894646e-05
2.7777777777777779e-01 8.2007031718094303e-01 2.7777777777777779e-01 3.2555872211588077e-01 1.8518518518518517e-01 3.1475943705690412e-01 1.8518518518518517e-01 2.8787053954048826e-02 2.7777777777777779e-01 3.5551604738137163e-05
2.9629629629629628e-01 7.8321844947218777e-01 2.9629629629629628e-01 3.2486740740521358e-01 1.9753086419753085e-01 3.1232016310786753e-01 1.9753086419753085e-01 2.0052826130391936e-02 2.9629629629629628e-01 3.4494133858960258e-05
3.1481481481481483e-01 7.4386403093864895e-01 3.1481481481481483e-01 3.2481782863490594e-01 2.0987654320987653e-01 3.1082401472004750e-01 2.0987654320987653e-01 1.7740280753417235e-02 3.1481481481481483e-01 2.9763744917435186e-05
3.3333333333333331e-01 7.0215999272197749e-01 3.3333333333333331e-01 3.2576660079688208e-01 2.2222222222222221e-01 3.1095602039846615e-01 2.2222222222222221e-01 1.5726354958194418e-02 3.3333333333333331e-01 2.2471664866899314e-05
3.5185185185185186e-01 6.5901698837025713e-01 3.5185185185185186e-01 3.2690508651466793e-01 2.3456790123456789e-01 3.1486086978925037e-01 2.3456790123456789e-01 1.4166036451432842e-02 3.5185185185185186e-01 1.4021198072526503e-05
3.7037037037037035e-01 6.1516197243845339e-01 3.7037037037037035e-01 3.2747098769570082e-01 2.4691358024691357e-01 3.2208451844843700e-01 2.4691358024691357e-01 1.3184975643978672e-02 3.7037037037037035e-01 9.7438028738173168e-06
3.8888888888888890e-01 5.7135373206796758e-01 3.8888888888888890e-01 3.2680017454617338e-01 2.5925925925925924e-01 3.2806721384459092e-01 2.5925925925925924e-01 1.3374839715666050e-02 3.8888888888888890e-01 8.8466536631864748e-06
4.0740740740740738e-01 5.2870246038913982e-01 4.0740740740740738e-01 3.2409491654375466e-01 2.7160493827160492e-01 3.2959476399391158e-01 2.7160493827160492e-01 1.5605819173490899e-02 4.0740740740740738e-01 1.0186619815314337e-05
4.2592592592592593e-01 4.8847510736902039e-01 4.2592592592592593e-01 3.1777434493641316e-01 2.8395061728395060e-01 3.2590698960401165e-01 2.8395061728395060e-01 2.0294488116068793e-02 4.2592592592592593e-01 1.3504679626697750e-05
4.4444444444444442e-01 4.5238713950740184e-01 4.4444444444444442e-01 3.1019202501027665e-01 2.9629629629629628e-01 3.1699876764023177e-01 2.9629629629629628e-01 2.6742185222627789e-02 4.4444444444444442e-01 1.8698304563337074e-05
4.6296296296296297e-01 4.2277083500967660e-01 4.6296296296296297e-01 3.0062506495683544e-01 3.0864197530864196e-01 3.0629979019087428e-01 3.0864197530864196e-01 3.3430095381591571e-02 4.6296296296296297e-01 2.5340329732114759e-05
4.8148148148148145e-01 4.0240224234506222e-01 4.8148148148148145e-01 2.8838964128398470e-01 3.2098765432098764e-01 2.9860710238508509e-01 3.2098765432098764e-01 3.8732796364740148e-02 4.8148148148148145e-01 2.4928632736513824e-05
5.0000000000000000e-01 3.9202753509023897e-01 5.0000000000000000e-01 2.7724751025665245e-01 3.3333333333333331e-01 2.9535259104878875e-01 3.3333333333333331e-01 4.1575078900480213e-02 5.0000000000000000e-01 2.2006681695969072e-05
5.1851851851851849e-01 3.7971644613776073e-01 5.1851851851851849e-01 2.6918859342390422e-01 3.4567901234567899e-01 2.9436721156330892e-01 3.4567901234567899e-01 3.9173461219744521e-02 5.1851851851851849e-01 2.0279790708534713e-05
5.3703703703703709e-01 3.3145747117612051e-01 5.3703703703703709e-01 2.6401296536593716e-01 3.5802469135802467e-01 2.9249186249015058e-01 3.5802469135802467e-01 3.1787522746810348e-02 5.3703703703703709e-01 1.6646848260544230e-05
5.5555555555555558e-01 2.5507938726553842e-01 5.5555555555555558e-01 2.6398753947016057e-01 3.7037037037037035e-01 2.8356828782969534e-01 3.7037037037037035e-01 2.5065481571269765e-02 5.5555555555555558e-01 1.1858739044540854e-05
5.7407407407407407e-01 2.0972902359872861e-01 5.7407407407407407e-01 2.6754141102590889e-01 3.8271604938271603e-01 2.6504104248797344e-01 3.8271604938271603e-01 2.4456400243400199e-02 5.7407407407407407e-01 7.0976100011034835e-06
5.9259259259259256e-01 1.8113609366844077e-01 5.9259259259259256e-01 2.7527813973426285e-01 3.9506172839506171e-01 2.4110046492177933e-01 3.9506172839506171e-01 2.9711821257382826e-02 5.9259259259259256e-01 3.4211741991992015e-06
6.1111111111111116e-01 1.7545380538254399e-01 6.1111111111111116e-01 2.8623268320203754e-01 4.0740740740740738e-01 2.1826347643441726e-01 4.0740740740740738e-01 3.2741521980180620e-02 6.1111111111111116e-01 1.2662988572369190e-06
6.2962962962962965e-01 2.0130988411638512e-01 6.2962962962962965e-01 2.9832051664236586e-01 4.1975308641975306e-01 2.0127606336250664e-01 4.1975308641975306e-01 2.5825925888969203e-02 6.2962962962962965e-01 6.1093698114924169e-06
6.4814814814814814e-01 2.3093412980785488e-01 6.4814814814814814e-01 3.1040587441887851e-01 4.3209876543209874e-01 1.8899353737341304e-01 4.3209876543209874e-01 2.2679914911365430e-02 6.4814814814814814e-01 2.2953843674919659e-06
6.6666666666666663e-01 2.3603365797382367e-01 6.6666666666666663e-01 3.2545563227349000e-01 4.4444444444444442e-01 1.8274803575021228e-01 4.4444444444444442e-01 2.6752391754653944e-02 6.6666666666666663e-01 6.2447357086951793e-07
6.8518518518518523e-01 2.4936032266751054e-01 6.8518518518518523e-01 3.4000305170392198e-01 4.5679012345679010e-01 1.8075153865549692e-01 4.5679012345679010e-01 4.9182391382319883e-02 6.8518518518518523e-01 1.1170425231377374e-07
7.0370370370370372e-01 2.6725227535381252e-01 7.0370370370370372e-01 3.4803643344697510e-01 4.6913580246913578e-01 1.8644487684014391e-01 4.6913580246913578e-01 1.0416614724946349e-01 7.0370370370370372e-01 1.3063186414358523e-08
7.2222222222222221e-01 2.7549502692213401e-01 7.2222222222222221e-01 3.5172370809327502e-01 4.8148148148148145e-01 2.0021493475657626e-01 4.8148148148148145e-01 1.9526668969626856e-01 7.2222222222222221e-01 2.6379696476052538e-09
7.4074074074074070e-01 3.0433593373688839e-01 7.4074074074074070e-01 3.5145823858691477e-01 4.9382716049382713e-01 2.2424435867144865e-01 4.9382716049382713e-01 3.0858434425895087e-01 7.4074074074074070e-01 4.2334057551298996e-09
7.5925925925925930e-01 3.0288068364851201e-01 7.5925925925925930e-01 3.4997377116255052e-01 5.0617283950617287e-01 2.5268100251987546e-01 5.0617283950617287e-01 3.8122199500421339e-01 7.5925925925925930e-01 8.9182507428297244e-08
7.7777777777777779e-01 3.2376920821215782e-01 7.7777777777777779e-01 3.5206902039041477e-01 5.1851851851851849e-01 2.7424180069984877e-01 5.1851851851851849e-01 3.7676936598357480e-01 7.7777777777777779e-01 5.6415586581609914e-06
