### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 54
Timestep dt = 1
P = tau/dt = 54
Number of Fourier coefficients Nc = 54

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.402605427472622068e+01 -3.102281867155273152e-05 -2.157599412302078066e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.356633356338336682e+01 -1.442397985860634062e-04 2.410876751260193542e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.085796154536710034e+01 -1.192933827556047766e-01 -2.265920568141819094e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.032352489695988140e+01 -6.331816857784961590e-05 -3.442821884162464803e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.488218632422940502e+00 3.470399520905374846e+00 -2.155481157942908066e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.864852007293101721e+01 -1.845666420663749641e-01 -1.018129619182472495e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.488588092918415384e+01 2.947644695203001097e-01 9.130684444321747195e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.725028343795106167e+00 7.614373828798104427e-02 6.014250140529701222e-03 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.701913996905220827e+01 4.069745165281468680e-02 -4.496312764183549304e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.942346990146876351e+01 -3.859492174886158084e-05 -2.920399542970392452e-04 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.385533951279910525e+01 -5.264734744655300697e-02 1.688111044008350561e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.465012074851037571e+00 4.034494558843773504e+00 -2.700067768442659499e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.182090666830731962e+01 -1.458079927562538070e-01 -5.241607351833466044e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.628066376767958801e+01 5.549684328064678762e-02 -3.210805404786858941e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.854815134436877955e+01 -2.259445880469420354e-01 2.765335008145436424e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.973519966324351671e+00 -6.010089142487850644e+00 2.720161501957166994e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.535405257627477482e+01 -2.262280866883879804e-01 -7.952663304708571523e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.894346795610004364e+01 -9.614464916859280508e-02 -1.539971798957521371e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.885368610523338617e+01 -1.592008380182803051e-01 5.161590754654736823e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.803893039368480800e+01 -4.739979674894830020e-02 -2.593141909491889288e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.353532876607172142e+00 2.243246896293377424e-01 9.368622267010329185e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.414970098391449227e+01 5.012947733193681699e-02 -1.896489939208073280e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.197046698626868277e+01 1.434476148565628773e-01 5.318531721093470999e-02 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.837264055742890179e+01 2.564457671332014410e-01 -2.415941747501493264e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.975134059583894697e+01 4.536952843204925534e-01 -6.696902336037299230e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.855725570233627764e+01 -5.269010179886633033e-02 -2.328380209878156970e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.821435676094574774e+01 6.856742531894816084e-02 3.086363755985711485e-02 0.000000000000000000e+00
