### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 36
Timestep dt = 1
P = tau/dt = 36
Number of Fourier coefficients Nc = 36

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.453076360153964908e+00 5.463160294812696716e-03 1.257292230010301326e+00 -1.464319313998755812e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.249534617636040679e+00 1.392690340731988830e+00 1.187959927334510501e+00 -4.902957055657433116e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.794192561247841322e+00 -1.969921617427411453e-02 -7.382826488138529708e-01 6.198529003395216730e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.689656276975965987e+00 3.321158235742033282e-01 4.007709362721908697e+00 -2.736184630080653601e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.595119351077429570e+01 -1.346526346871220565e-03 -2.161840482321020305e-03 2.565479208495880133e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.084376456247840537e+01 7.000608200720454199e+00 2.973347460917195928e+00 -1.813584894795371438e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.565048930806316463e+00 -4.324031135297928818e-01 -2.972493334114678198e+00 2.982863435034998623e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.175086790061397490e+00 -3.848251119732082337e-03 -1.927304710691188250e+00 2.076378886280880298e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.857554736404089191e+00 2.321476513237336059e-01 -8.963519362663158185e-02 -1.257829551465136086e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.533656557037191170e+00 3.832699897339595374e-01 -6.241500846150505044e-01 8.932071537817085072e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.925590987057553605e+00 2.307422489951797218e+00 3.116929217815495035e-01 -7.866340259432946791e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.841967704283590024e+00 1.684896058213927739e-01 -2.665167628266560396e-01 7.098481252740840297e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.807216259729446550e-01 -1.705327737033977831e-01 -1.429630427786087843e+00 1.005688949302518509e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.031489746228028359e+00 1.488120086757623417e+00 -6.850200646713962005e-01 -5.670771072833912241e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.885927890313912947e+00 3.499569651429102479e-01 2.602513372504750011e-01 -5.040225741123340875e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.692081018124810043e-01 -3.048890186029429988e-04 -4.200529444140003177e-01 -4.408100227519425873e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.227258374162396137e+00 2.359193297360321906e-01 -9.046467656135321889e-01 -2.255764521066210282e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.037803073689231415e+00 -1.515996046845162204e-01 8.234934547083260226e-01 -7.118604406346662472e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.134959688154200119e+00 -3.682030022165665439e-01 5.019665706216953627e-01 -1.630761033629669066e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.512737546610465333e+00 -7.230280764879468691e-01 -1.423299884853368225e+00 1.898404149096870164e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.833601962533097485e+00 -5.245730862265518546e-01 -3.386094320845531858e+00 2.365426818786695140e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.039668299330875012e+00 -1.557729504389783193e-01 8.192328433751161487e-01 -7.029523831259086863e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.435058636391835662e+01 -1.702947058189307333e-02 -6.060528209856057801e-03 5.533482265729501061e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.304084296192907999e+00 -1.675642226605549734e+00 2.831187829048126936e+00 4.967165206518393550e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.971884282415553358e+00 2.949068361958668422e-02 9.822001709783997336e-01 1.811851016322614805e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.183100723033307489e+00 -1.166011643720855639e+00 4.536872527184455661e-01 5.122294213752156544e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.070024069416460755e+01 -7.753993281837426643e+00 -3.468008533425385842e+00 1.994021929713526431e+00
