### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 10
Timestep dt = 1
P = tau/dt = 10
Number of Fourier coefficients Nc = 10

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.533408099985712170e+01 1.769176990412177212e-12 5.906716907129833738e-13 1.341978375173662545e-11
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.034816106687760495e+01 1.661445873842276112e-12 -2.285404763769123926e-12 -8.943530080436038734e-12
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.757404238078623493e+01 1.077940672399899503e-14 2.871682998545676182e-12 -1.153030485323155941e-12
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.310422829843798809e+01 -3.069937726589899543e-13 -1.609596993690899610e-12 6.372991888907107901e-12
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.283266144824407462e+01 2.058519198196491345e-12 -9.395865730980497235e-13 1.297810270395357451e-11
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.099813473525215102e+01 4.440272172978613491e-13 7.714316188048315390e-14 -2.629116326254318413e-11
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.199815547855554598e+01 1.397768624884276528e-12 1.417845836610227384e-12 5.277318209148663362e-12
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.129945489536714831e+01 2.166966872059703934e-13 -2.560598222563815771e-14 2.537134961651531595e-11
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.264599372038333058e+01 1.269408762768108939e-13 3.780910326660186303e-12 -2.600424774576342839e-12
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.917437507822051046e+01 -5.032383805984475009e-13 2.432441857730190173e-12 3.245831224722850888e-13

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 -2.177688022613315233e-01 -3.548033619168284858e-01 9.765665817170336716e-02 -2.177688022615688612e-01 -3.548033619275474670e-01 9.765665820539316810e-02
1.000000000000000000e+00 2.043556703162695831e-01 6.641056168207686294e-01 3.294844947297816962e-01 2.043556703165596566e-01 6.641056168163035345e-01 3.294844947033191418e-01
2.000000000000000000e+00 3.133135889923147621e-01 4.915385125887081763e-01 3.648857751049462417e-01 3.133135889928513884e-01 4.915385125867040572e-01 3.648857751482632583e-01
3.000000000000000000e+00 4.152633624098478471e-01 4.245379788945363719e-01 3.448005653294149431e-01 4.152633624103628796e-01 4.245379788963589140e-01 3.448005653082735211e-01
4.000000000000000000e+00 5.418773977745501291e-01 4.335107146581596016e-01 3.310304294113689538e-01 5.418773977756851101e-01 4.335107146600507555e-01 3.310304294042250572e-01
5.000000000000000000e+00 6.556487912349124869e-01 4.107179406427039492e-01 3.084741229108843852e-01 6.556487912332603640e-01 4.107179406438365987e-01 3.084741228903432053e-01
6.000000000000000000e+00 8.017843934683428486e-01 3.666729493775570115e-01 2.608649677021392943e-01 8.017843934733195344e-01 3.666729493753711489e-01 2.608649677055826510e-01
7.000000000000000000e+00 8.924891644367107801e-01 2.923091405624170802e-01 2.323826160207402292e-01 8.924891644358003973e-01 2.923091405607761706e-01 2.323826160671825514e-01
8.000000000000000000e+00 9.032662050003987808e-01 1.685973965994606583e-01 1.639557949545376037e-01 9.032662050001807330e-01 1.685973965975143540e-01 1.639557948941343934e-01
9.000000000000000000e+00 9.530149375999465988e-01 7.477462873959241085e-02 5.602601591902996170e-02 9.530149376007083228e-01 7.477462873945719957e-02 5.602601599091381473e-02

Residual energy after optimization is 0.013976296683816397 C0x=0.9999999999991127 C0z=1.0000000000008147 C0xz=0.999999999999325
Optimization procedure took 6.821650743484497 seconds
