### PARAMETERS OF THE TIME EVOLUTION ### 
Total time tau = 12
Timestep dt = 1
P = tau/dt = 12
Number of Fourier coefficients Nc = 12

gamma(t) = t/T*(delta_t + \sum_i^Nc gamma_i*f_i(wi, t) 
beta(t) = (1-t/T)*(delta_t + \sum_i^Nc beta_i*f_i(wi, t)

CRAB coefficient   Cz_start// Cx_start// Cxz_start // pulses//  Cz_opt // Cx_opt // Cxz_opt  
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.141709828866601661e+00 -7.662997735284786394e-02 8.868568191796037947e-01 -2.625086835146025685e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.465751110347994768e-01 3.865237194526740735e-03 5.716141043122929116e-02 -2.922874889131235002e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.301746500100768422e+01 1.129205033264444680e-03 7.685896317567925129e-02 -6.718428468759125730e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.779100399039995750e+01 -4.824611217559799520e-03 -3.634945768407220612e-01 5.789888735201384126e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.541531624505707754e+01 -2.999152287499067242e-03 4.428048379304307981e-03 5.018215974622171295e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.630876893979861819e+01 -3.548662322408505879e-04 -8.359412749975451140e-01 1.303341592180007509e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.841093748166673594e+00 -4.906141747130935392e-03 6.526417590087972564e-02 -4.861931785360192569e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.028097331310693718e+01 4.349285922621097186e-03 6.030356566785509409e-02 1.004082667193058939e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.979916887188917585e+01 -4.235529485499366781e-02 2.622721103172860335e-01 -1.221619556075693828e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.784572418762778057e+01 -5.298864423703334055e-03 -1.428588728406378350e-01 2.823839579148105638e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.699801215901361928e+01 -6.485533776738441891e-02 2.336201160534773891e+00 -4.223293454430931265e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.727262996052978750e+01 8.980164043689914388e-02 -2.368664341809029406e+00 4.875083942737747783e-02

Amplitudes vs time: t // theta_tt_old // theta_mt_old // alpha_cdt_old// theta_tt_opt // theta_mt_opt// alpha_cdt_opt  
0.000000000000000000e+00 -6.755648193342078667e-02 1.583993802261385753e+00 1.421324613087051603e-01 -6.813260144183920508e-02 1.580309691146627671e+00 1.418628519674386690e-01
1.000000000000000000e+00 1.384150272330429976e-01 6.065194253694246029e-01 3.113749829002632197e-01 1.367079401940673733e-01 6.073153264927859674e-01 3.105603752016973806e-01
2.000000000000000000e+00 3.189586770416354966e-01 4.615615880865941989e-01 3.280964622687552179e-01 3.144660145885249114e-01 4.632478128186303667e-01 3.294004702219327507e-01
3.000000000000000000e+00 4.709024369811951605e-01 4.195620261079033853e-01 3.015743853753107828e-01 4.654869247709447766e-01 4.192976481416416656e-01 3.020759538238270703e-01
4.000000000000000000e+00 5.940133410468827480e-01 3.930991983115925681e-01 3.058854495500638038e-01 5.905554737225865436e-01 3.957293780562842200e-01 3.054862562765987555e-01
5.000000000000000000e+00 6.913204587603261064e-01 3.019431770393774528e-01 3.074955331067042441e-01 6.796354939150555108e-01 2.992583516082303885e-01 3.116349605092869068e-01
6.000000000000000000e+00 7.420161397178151041e-01 2.210289549892943128e-01 3.175991915594895687e-01 7.351204413710776819e-01 2.161147326066425456e-01 3.234254421731652118e-01
7.000000000000000000e+00 6.916787263597895530e-01 2.120304909717731778e-01 3.130877584351807741e-01 6.964507221241537094e-01 2.101856701875733646e-01 3.213361948214893959e-01
8.000000000000000000e+00 7.282948596400600216e-01 2.337242247843074883e-01 2.609237563250310643e-01 7.308419652434683389e-01 2.334033499933355349e-01 2.698008297608230910e-01
9.000000000000000000e+00 8.927894825732709538e-01 2.107598505692324098e-01 2.211071487503648569e-01 8.772777959362455524e-01 2.071059404996364595e-01 2.277695063719613056e-01
1.000000000000000000e+01 9.330301054606385813e-01 9.986586244261136391e-02 1.713076797969286247e-01 9.291529250248300453e-01 9.958259578426226222e-02 1.729521779587071539e-01
1.100000000000000000e+01 9.491540202090466005e-01 5.406278817497194022e-02 6.441993205371598918e-02 9.413758644957861410e-01 4.933290855377846229e-02 6.735750489133598973e-02

Residual energy after optimization is 0.00813804669797195 C0x=1.0805925187434773 C0z=0.9926664862079215 C0xz=1.007395345305583
Optimization procedure took 11.030782222747803 seconds
